%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 1600 Hz
%Board = OpenBCI_GUI$BoardGanglionWifi
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
11.0, 40.56856227621536, -29.644315176992027, 40.51246378032753, 6.894505144614244, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631307E9, 0.0, 2021-09-30 13:31:07.631
12.0, 37.0680161328148, -29.339513349334823, 33.711456128859666, 29.668624525210088, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676313128E9, 0.0, 2021-09-30 13:31:07.631
13.0, 37.27558056759977, -27.86038300775905, 37.428916456359836, 71.49940295890161, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631317E9, 0.0, 2021-09-30 13:31:07.631
14.0, 39.416673160651925, -24.44772450791609, 47.969823833682995, 124.62093866495027, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676313202E9, 0.0, 2021-09-30 13:31:07.631
15.0, 40.525553429368024, -22.43565845540594, 63.484797846393704, 124.76118490466985, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631392E9, 0.0, 2021-09-30 13:31:07.631
16.0, 42.34688459585955, -25.87823615305574, 70.00531301842241, 58.19470968417138, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676313968E9, 0.0, 2021-09-30 13:31:07.631
17.0, 39.24276782339965, -32.86249889109051, 67.2583566697817, -0.21691418409960736, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314003E9, 0.0, 2021-09-30 13:31:07.631
18.0, 37.89266402236589, -30.28757792983914, 71.6340393490324, -25.599613623479524, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314037E9, 0.0, 2021-09-30 13:31:07.631
19.0, 33.46649269681615, -34.23504209047941, 73.21414698320626, -38.44616918179248, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314075E9, 0.0, 2021-09-30 13:31:07.631
20.0, 39.88977047597262, -31.050517473913622, 86.09249168918899, -35.22424556796813, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314108E9, 0.0, 2021-09-30 13:31:07.631
21.0, 39.58683859817834, -32.04907070071699, 95.27207556630081, -35.80766992520156, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314142E9, 0.0, 2021-09-30 13:31:07.631
22.0, 35.65994388603028, -32.217366188380474, 102.14975116214872, -27.33679704613931, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314175E9, 0.0, 2021-09-30 13:31:07.631
23.0, 32.54086751466696, -35.38693120604284, 105.8690814395118, -22.680621887449462, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314209E9, 0.0, 2021-09-30 13:31:07.631
24.0, 35.08399932824856, -28.000629247478624, 116.60072370285359, -13.65250394923477, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314244E9, 0.0, 2021-09-30 13:31:07.631
25.0, 34.917573790448, -24.30373836847066, 120.84550989169935, -10.870018553198427, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314285E9, 0.0, 2021-09-30 13:31:07.631
26.0, 35.996534861357254, -29.610656079459332, 114.37361341610676, -11.316936570438136, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631432E9, 0.0, 2021-09-30 13:31:07.631
27.0, 37.75989758209803, -29.629355578088607, 105.52127076500726, -10.286594195965, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314356E9, 0.0, 2021-09-30 13:31:07.631
28.0, 35.843198972597186, -25.56969442567268, 97.32902041552123, -13.39819076787661, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314392E9, 0.0, 2021-09-30 13:31:07.631
29.0, 35.882467919718664, -24.06625473587885, 93.2151307170804, -13.919906779633424, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314423E9, 0.0, 2021-09-30 13:31:07.631
30.0, 37.09793533062164, -23.42112203316881, 87.5547924819984, -7.40687140705642, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631446E9, 0.0, 2021-09-30 13:31:07.631
31.0, 39.624237595436895, -23.40429248440246, 77.19901014110509, 0.613343555040269, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314497E9, 0.0, 2021-09-30 13:31:07.631
32.0, 42.232817654220966, -25.41074868732383, 74.48197299027122, 6.453196976963318, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314597E9, 0.0, 2021-09-30 13:31:07.631
33.0, 46.528092489365775, -23.08640100770476, 73.97147667769197, 14.533250334673692, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314633E9, 0.0, 2021-09-30 13:31:07.631
34.0, 52.00704558774379, -19.196905292815252, 67.14241977828019, 17.88233053917711, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314666E9, 0.0, 2021-09-30 13:31:07.631
35.0, 55.61043897360537, -17.211018538386085, 52.32493706444149, 13.018590945702297, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314702E9, 0.0, 2021-09-30 13:31:07.631
